,symbol
0,BTC
1,ETH
2,XRP
3,BCH
4,USDT
5,BSV
6,LTC
7,EOS
8,BNB
9,XTZ
10,LINK
11,ADA
12,XLM
13,TRX
14,XMR
15,HT
16,LEO
17,ETC
18,NEO
19,DASH
20,CRO
21,HEDG
22,ATOM
23,MIOTA
24,MKR
25,XEM
26,ZEC
27,ONT
28,USDC
29,VET
30,BAT
31,OKB
32,DOGE
33,FTT
34,ALGO
35,QTUM
36,BTG
37,ICX
38,DCR
39,PAX
40,ZRX
41,LSK
42,RVN
43,ZB
44,HBAR
45,REP
46,TUSD
47,BCD
48,WAVES
49,OMG
50,SNX
51,KNC
52,MONA
53,THETA
54,DAI
55,NANO
56,KCS
57,HOT
58,NEXO
59,CKB
60,SC
61,VSYS
62,ENJ
63,ZEN
64,DGD
65,DX
66,BCN
67,BUSD
68,MCO
69,BTM
70,DGB
71,BTT
72,HC
73,KMD
74,BTS
75,SXP
76,ABBC
77,MATIC
78,STEEM
79,LUNA
80,IOST
81,XVG
82,ZIL
83,REN
84,CHZ
85,AION
86,SEELE
87,SNT
88,GNT
89,ELF
90,ARDR
91,AE
92,XZC
93,MOF
94,WAXP
95,MANA
96,RLC
97,POWR
98,NRG
99,STX
100,WICC
101,LRC
102,ANT
103,QNT
104,MAID
105,RIF
106,STRAT
107,YAP
108,NPXS
109,LEND
110,HPT
111,CRPT
112,TOMO
113,GRIN
114,UBT
115,ELA
116,EURS
117,BEAM
118,SOLVE
119,GT
120,RCN
121,ETN
122,BOA
123,PAI
124,WTC
125,RDD
126,CEL
127,GXC
128,TRUE
129,ORBS
130,DGTX
131,ARK
132,MX
133,WAN
134,SERO
135,DIVI
136,FET
137,OCEAN
138,LOOM
139,HYN
140,CTXC
141,NAS
142,NMR
143,ADK
144,IOTX
145,DRG
146,NULS
147,FCT
148,FUN
149,PPT
150,CVC
151,BHT
152,STORJ
153,SAI
154,NEW
155,PIVX
156,BRD
157,MTL
158,XMX
159,IGNIS
160,WIN
161,BNT
162,NEX
163,TNT
164,LAMB
165,ENG
166,GNO
167,WXT
168,APM
169,ETP
170,ILC
171,TTC
172,BHP
173,GAS
174,SYS
175,STPT
176,ERD
177,TT
178,QASH
179,DAG
180,RSR
181,EMC2
182,GRS
183,VTC
184,BST
185,R
186,EKT
187,KAN
188,BORA
189,CHSB
190,DRGN
191,LOKI
192,RUNE
193,EDO
194,FTM
195,BTU
196,DENT
197,DCN
198,LTO
199,FX
200,FLG
201,TAGZ5
202,INO
203,PLF
204,DNA
205,MIN
206,INB
207,BRC
208,BAY
209,PZM
210,THR
211,THX
212,XET
213,XIN
214,CNX
215,MXM
216,GTN
217,SURE
218,BOTX
219,XTP
220,CCA
221,CENNZ
222,GAP
223,EON
224,BDX
225,INNBCL
226,MB
227,FXC
228,BRZE
229,BXK
230,QC
231,BNK
232,CIX100
233,FAB
234,BTMX
235,WCC
236,UNI
237,FST
238,BCZERO
239,JUL
240,ONE
241,TRAT
242,ECOREAL
243,XWC
244,BF
245,BHD
246,VITAE
247,QBIT
248,BTRS
249,USDK
250,NET
251,DTR
252,VLX
253,STO
254,PLC
255,LA
256,BZ
257,AGVC
258,SCC
259,C20
260,BTC2
261,MEXC
262,QQQ
263,CSC
264,VEST
265,VERI
266,PAXG
267,XAC
268,CVCC
269,BNANA
270,CBUCKS
271,KBC
272,APL
273,GBYTE
274,LST
275,OXT
276,JWL
277,ZVC
278,EVN
279,ULT
280,EVR
281,GRN
282,BIX
283,POLY
284,WRX
285,ZT
286,MXC
287,HEX
288,NXS
289,CELR
290,GO
291,PNK
292,UNO
293,AGI
294,BURST
295,UOS
296,NYE
297,CND
298,DPT
299,LBA
300,MOAC
301,NXT
302,PERL
303,CET
304,EMRX
305,FO
306,MDA
307,TLOS
308,ZEON
309,ABT
310,AOA
311,BLOCK
312,IRIS
313,TFUEL
314,COCOS
315,ODE
316,REQ
317,VGX
318,COS
319,MBL
320,COTI
321,ITC
322,META
323,CMT
324,B2B
325,SAN
326,NEBL
327,MOC
328,WABI
329,IQ
330,COSM
331,DATA
332,MFT
333,AAC
334,ANCT
335,AERGO
336,ROX
337,ATP
338,STORM
339,BFT
340,LBTC
341,XNC
342,OGN
343,SAFE
344,E2C
345,DMT
346,YOU
347,EDC
348,EXMR
349,GMAT
350,NKN
351,OST
352,CS
353,DUSK
354,EUM
355,ANKR
356,QKC
357,RKN
358,WIX
359,SNL
360,CON
361,ZANO
362,MED
363,CRN
364,SKY
365,XCHF
366,XMC
367,EUSD
368,UIP
369,MBC
370,SRN
371,UTT
372,PRS
373,QRL
374,SXDT
375,BAND
376,WBTC
377,ADX
378,FOR
379,ARPA
380,UPP
381,CRE
382,DERO
383,XDCE
384,ADN
385,AEN
386,S4F
387,HPB
388,IDEX
389,MTC
390,HXRO
391,NMC
392,EOSDAC
393,AVA
394,PAY
395,PLR
396,SMT
397,VIDY
398,GTO
399,TKN
400,SLS
401,RDN
402,OTO
403,EGT
404,NAV
405,VITE
406,RHOC
407,CCC
408,TOSC
409,SOC
410,DAC
411,QSP
412,HYDRO
413,LEVL
414,ACT
415,SYM
416,KIN
417,UUU
418,DAPP
419,TEL
420,GNY
421,QRK
422,BCV
423,DGX
424,PLBT
425,DDK
426,FSN
427,XDB
428,PLY
429,POLIS
430,SMART
431,BTX
432,IVY
433,1ST
434,JNT
435,RUFF
436,TROY
437,TOP
438,CPT
439,LOC
440,MET
441,DREP
442,ZRC
443,PEOS
444,TEN
445,EVX
446,SALT
447,LINKA
448,ARRR
449,SBD
450,REPO
451,LINA
452,TNB
453,FOAM
454,YOYOW
455,PPC
456,EDR
457,INT
458,UTK
459,BAX
460,QCX
461,NLG
462,TAAS
463,NEC
464,AMB
465,SNGLS
466,NCASH
467,POE
468,MITH
469,FLETA
470,TRB
471,MLN
472,USDQ
473,MHC
474,FNB
475,XSN
476,XRC
477,CVNT
478,VALOR
479,LBC
480,TRIO
481,OGO
482,1WO
483,EBTC
484,PRE
485,PCX
486,WGR
487,GVT
488,RPL
489,FLO
490,KEY
491,XAS
492,CREDO
493,BLZ
494,WPR
495,BMC
496,XHV
497,IHF
498,SWFTC
499,NIM
500,VIDT
501,VIA
502,TCT
503,ONE
504,BDP
505,SFT
506,AMPL
507,PART
508,INCNT
509,GOC
510,EOSDT
511,CAS
512,SLV
513,ECC
514,SUSD
515,APPC
516,IQN
517,DOCK
518,CVT
519,PRO
520,BOX
521,DAPS
522,SNM
523,XPX
524,CUT
525,VRA
526,ECA
527,COLX
528,N8V
529,MAN
530,PEPECASH
531,AGRO
532,MDT
533,LHT
534,BITG
535,MTH
536,BITCNY
537,UQC
538,HYC
539,USDN
540,KAVA
541,DNT
542,TRV
543,PEG
544,RFR
545,CAJ
546,ELAMA
547,DEC
548,NEU
549,NYZO
550,GUSD
551,ZEL
552,CDT
553,DLT
554,GCC
555,UGAS
556,OAX
557,LCC
558,QLC
559,VIB
560,XCP
561,TTN
562,GTC
563,VIBE
564,VNT
565,LIF
566,DTA
567,EOSC
568,GET
569,PROM
570,MRPH
571,VEO
572,MOBI
573,TRAC
574,UTNP
575,PCL
576,CBT
577,BZNT
578,AMO
579,EVY
580,BFC
581,EMC
582,UBQ
583,GDC
584,MWAT
585,RSTR
586,STREAM
587,SWACE
588,MDS
589,CPT
590,NIX
591,CNN
592,POA
593,PPP
594,ILK
595,RBLX
596,CSP
597,QUN
598,CHR
599,AST
600,EBASE
601,CTC
602,BOX
603,SENSE
604,DAGT
605,SNTVT
606,ROOBEE
607,GLEEC
608,PMA
609,GAME
610,SNC
611,DBC
612,HUM
613,BMX
614,BET
615,DREAM
616,DICE
617,XAUR
618,VID
619,CWV
620,HX
621,EXM
622,ZCN
623,OK
624,VBK
625,BAAS
626,HMC
627,ADT
628,SNET
629,XYO
630,LXT
631,PHX
632,TERA
633,BCPT
634,PLA
635,SPND
636,NPX
637,APIS
638,PLA
639,AXE
640,FUEL
641,AKRO
642,GRID
643,OCN
644,SIX
645,HTML
646,BOS
647,USDX
648,LYM
649,VNDC
650,SCC
651,BLT
652,ARN
653,SUTER
654,AEON
655,ERG
656,BXY
657,VEE
658,ADM
659,RNT
660,TFL
661,MOON
662,GSC
663,CONST
664,DDD
665,FAT
666,NWC
667,IONC
668,TERN
669,HLT
670,ONION
671,DAD
672,SWTH
673,NCT
674,STACS
675,PIA
676,VDG
677,NUG
678,BPT
679,INSTAR
680,BBR
681,VIPS
682,LET
683,BTN
684,ATCC
685,KCASH
686,EM
687,BTR
688,SKM
689,PAYX
690,REM
691,LUN
692,PHR
693,MVL
694,LKK
695,TFD
696,RTH
697,PVT
698,NOKU
699,GNX
700,FTC
701,CLO
702,TUBE
703,QBX
704,MGX
705,VNXLU
706,GOT
707,ZER
708,CLAM
709,RADS
710,LIT
711,PLTC
712,ZEBI
713,TRY
714,TAU
715,SENT
716,POT
717,OLT
718,GEN
719,ERC20
720,XSPEC
721,CPAY
722,AIDOC
723,CNB
724,FLASH
725,MINT
726,XMY
727,AUTO
728,MIR
729,XDN
730,DROP
731,XST
732,BWX
733,ABYSS
734,AFIN
735,DADI
736,BQTX
737,PNT
738,SHIP
739,BOLT
740,WWB
741,XLQ
742,CHP
743,ZIP
744,AMLT
745,BTO
746,MITX
747,COV
748,NBX
749,VEX
750,OURO
751,VEIL
752,FLC
753,NPXSXEM
754,BLK
755,AT
756,CAN
757,SEAL
758,MTV
759,ETZ
760,TKY
761,PLU
762,ORS
763,INE
764,DTX
765,IMG
766,SUB
767,HOT
768,ART
769,XSR
770,AWC
771,TELOS
772,SXUT
773,MTXLT
774,WINGS
775,UFR
776,HBX
777,BITUSD
778,CHX
779,LRN
780,PGN
781,EFX
782,CRW
783,SPC
784,SUMO
785,USDS
786,SOUL
787,ADS
788,EDN
789,ZCL
790,NPC
791,NOIA
792,SWM
793,AIDUS
794,ZUC
795,CZR
796,CRON
797,1SG
798,BITB
799,EGG
800,TIOX
801,CXO
802,BTT
803,MRX
804,PAC
805,ABL
806,KRI
807,OPQ
808,NSD
809,OMX
810,GARD
811,SLT
812,XPD
813,BCDT
814,LYL
815,PIB
816,ROCK2
817,KRL
818,BEPRO
819,KT
820,UKG
821,CPC
822,LIKE
823,CBC
824,EDG
825,FAB
826,TOL
827,MB8
828,CAG
829,TAC
830,PI
831,DEX
832,LIFE
833,EFL
834,RBTC
835,LKY
836,IHT
837,CARD
838,HLC
839,LUNES
840,APIX
841,ATL
842,GMB
843,MYST
844,ECOB
845,KAT
846,TPAY
847,FNKOS
848,AUR
849,HBT
850,UBEX
851,NTK
852,WCO
853,SEM
854,JDC
855,XCASH
856,IPL
857,SPANK
858,EXRN
859,TRTL
860,PPY
861,XPM
862,GENE
863,CLR
864,NSR
865,YEE
866,DACS
867,IMT
868,HYT
869,DAX
870,FRM
871,DPY
872,OVC
873,CHAT
874,COS
875,RMT
876,CV
877,PST
878,NYC
879,TEMCO
880,PRA
881,BQQQ
882,IDH
883,DTEP
884,SCAP
885,DIME
886,STA
887,YEED
888,LND
889,BOOM
890,GRC
891,INK
892,RET
893,IOC
894,THC
895,TDX
896,DNA
897,BEET
898,UCASH
899,SPHR
900,FTN
901,SMLY
902,VLD
903,PASC
904,DOS
905,ZAP
906,MTN
907,CLOAK
908,RBY
909,NGC
910,CRD
911,NASH
912,SKB
913,LOCUS
914,VIT
915,DAT
916,MGO
917,NKC
918,D
919,FDZ
920,NBOT
921,SIN
922,BIS
923,CLB
924,FTX
925,MERI
926,TRST
927,PCH
928,MUE
929,AXPR
930,XFC
931,LQD
932,HKN
933,VRC
934,LEV
935,XBASE
936,SHX
937,AVT
938,IGG
939,MPAY
940,MEETONE
941,ISR
942,XLAB
943,KARMA
944,IFC
945,NOTE
946,CANN
947,CEEK
948,SHA
949,BBK
950,TN
951,QDAO
952,LUX
953,LEDU
954,MGD
955,BCY
956,HMQ
957,RAVEN
958,SSP
959,TOC
960,ATN
961,BXC
962,PXL
963,42
964,DMD
965,VIN
966,MIC
967,0xBTC
968,CSPN
969,TOA
970,UND
971,STS
972,EXY
973,BZE
974,IPC
975,TRC
976,ACAT
977,MER
978,DCT
979,SEN
980,CURE
981,OMNI
982,KICKS
983,ZXC
984,SLR
985,BCA
986,RFOX
987,SPIKE
988,MAS
989,PINK
990,QCH
991,PTT
992,OPEN
993,FREE
994,XRA
995,TKS
996,NOS
997,AMIO
998,NVC
999,HNC
1000,XEL
1001,WET
1002,VGW
1003,NBC
1004,USDX
1005,BTZC
1006,CPX
1007,BITS
1008,STK
1009,AZ
1010,WGP
1011,ZPR
1012,XES
1013,DIT
1014,ASAFE
1015,EXP
1016,USNBT
1017,CAPP
1018,KLN
1019,QWC
1020,FTI
1021,BKX
1022,TIME
1023,NTY
1024,NEXXO
1025,WFX
1026,EKO
1027,EBK
1028,HSC
1029,INXT
1030,OSA
1031,SPN
1032,BAN
1033,COVA
1034,SKCH
1035,PTI
1036,AMN
1037,TCH
1038,ADB
1039,CRC
1040,ZPT
1041,1X2
1042,BTCP
1043,EQUAD
1044,ZUM
1045,DEEX
1046,MCASH
1047,PND
1048,RTE
1049,GBC
1050,GOLD
1051,OWN
1052,ENQ
1053,LML
1054,GMB
1055,BC
1056,BTCZ
1057,RISE
1058,XNS
1059,DAB
1060,GEO
1061,MNC
1062,XPC
1063,QAC
1064,SPHTX
1065,WCT
1066,CCX
1067,INSN
1068,HVN
1069,HUSH
1070,DCY
1071,DYN
1072,ORMEUS
1073,MLC
1074,UT
1075,XSG
1076,TAS
1077,HORUS
1078,PTON
1079,MFG
1080,MPG
1081,TCC
1082,SAFE
1083,MTX
1084,HSS
1085,SIB
1086,TZC
1087,TFB
1088,BBC
1089,IETH
1090,PKT
1091,QNTU
1092,VDX
1093,SINS
1094,NEAL
1095,AYA
1096,XBX
1097,MESG
1098,KRB
1099,ETK
1100,BWT
1101,COT
1102,NOW
1103,BIO
1104,IXC
1105,CEN
1106,FLP
1107,WNL
1108,PIRL
1109,IDT
1110,DATX
1111,NLC2
1112,1UP
1113,EBC
1114,VZT
1115,IOP
1116,HOLD
1117,LCX
1118,ORB
1119,FACE
1120,NCC
1121,AIT
1122,OLE
1123,MVP
1124,CBC
1125,FXT
1126,TNC
1127,MRK
1128,ATM
1129,UDOO
1130,DRT
1131,DXT
1132,CLN
1133,WEBD
1134,CVN
1135,XPA
1136,BOMB
1137,STX
1138,HEAT
1139,QBT
1140,HALO
1141,AMON
1142,AID
1143,FLIXX
1144,XBC
1145,ION
1146,ZIPT
1147,SHIFT
1148,BOB
1149,PRG
1150,RED
1151,ETT
1152,SHND
1153,EVN
1154,NOR
1155,BANCA
1156,GIO
1157,KICK
1158,PXC
1159,ESS
1160,A
1161,NANJ
1162,MTC
1163,BDG
1164,ICNQ
1165,HQX
1166,ZLA
1167,XHI
1168,ESP
1169,MBN
1170,PLA
1171,BBP
1172,UP
1173,RATING
1174,TWINS
1175,NTRN
1176,EXCL
1177,LOBS
1178,OBITS
1179,ACM
1180,PHI
1181,AUC
1182,CRYP
1183,OCT
1184,ROBET
1185,FKX
1186,KST
1187,VANTA
1188,BIR
1189,TTV
1190,SNOV
1191,ZP
1192,MCT
1193,HNST
1194,J8T
1195,MEME
1196,GBX
1197,ELEC
1198,ESBC
1199,HBZ
1200,PYLNT
1201,AUX
1202,CNUS
1203,WIKEN
1204,MOTO
1205,VITES
1206,BFX
1207,LNX
1208,DBET
1209,LEO
1210,BNY
1211,XWP
1212,PASS
1213,TRTT
1214,GOT
1215,PLAY
1216,KZE
1217,X8X
1218,ERO
1219,BBK
1220,CXP
1221,GOLOS
1222,STAR
1223,XBI
1224,MNX
1225,NEWS
1226,ZSC
1227,NBAI
1228,MVC
1229,PBT
1230,TCASH
1231,XLR
1232,PUT
1233,MAC
1234,XSM
1235,DBIX
1236,FOTA
1237,TIPS
1238,GCR
1239,RLX
1240,XLA
1241,LCS
1242,RYO
1243,TIE
1244,SENC
1245,RPD
1246,FTT
1247,MANNA
1248,SS
1249,UBC
1250,JAR
1251,XNV
1252,OWC
1253,ERK
1254,SPD
1255,COFI
1256,SHDW
1257,ZNZ
1258,ONOT
1259,PXG
1260,ERT
1261,GEM
1262,REAL
1263,XCM
1264,GLC
1265,MAO
1266,DIM
1267,TGAME
1268,SEAL
1269,ONL
1270,CMCT
1271,ADC
1272,BLAST
1273,IPSX
1274,DOV
1275,PRIX
1276,PING
